timestep,SE1,SE2,SE3,SE4
2024-01-10 06:00:00,1335.0,2332.0,13835.0,4092.0
2024-01-10 07:00:00,1279.0,2484.0,13950.0,4155.0
2024-01-10 08:00:00,1336.0,2468.0,13897.0,4114.0
2024-01-10 09:00:00,1467.0,2527.0,13807.0,4105.0
2024-01-10 10:00:00,1402.0,2620.0,13689.0,4014.0
2024-01-10 11:00:00,1388.0,2495.0,13458.0,4046.0
2024-01-10 12:00:00,1278.0,2458.0,13274.0,4032.0
2024-01-10 13:00:00,1497.0,2582.0,13308.0,3995.0
2024-01-10 14:00:00,1546.0,2365.0,13628.0,3976.0
2024-01-10 15:00:00,1533.0,2341.0,13980.0,3966.0
2024-01-10 16:00:00,1440.0,2451.0,14109.0,4028.0
2024-01-10 17:00:00,1413.0,2337.0,13991.0,3997.0
2024-01-10 18:00:00,1361.0,2279.0,13760.0,3922.0
2024-01-10 19:00:00,1414.0,2372.0,13313.0,3807.0
2024-01-10 20:00:00,1502.0,2329.0,12857.0,3691.0
2024-01-10 21:00:00,1518.0,2272.0,12214.0,3589.0
2024-01-10 22:00:00,1250.0,2303.0,11690.0,3485.0
2024-01-10 23:00:00,1340.0,2168.0,11363.0,3348.0
2024-01-11 00:00:00,1396.0,1971.0,10964.0,3269.0
2024-01-11 01:00:00,1527.0,2115.0,10807.0,3228.0
2024-01-11 02:00:00,1594.0,2359.0,10854.0,3185.0
2024-01-11 03:00:00,1493.0,2454.0,10885.0,3225.0
2024-01-11 04:00:00,1545.0,2586.0,11262.0,3324.0
2024-01-11 05:00:00,1633.0,2733.0,12162.0,3539.0
2024-01-11 06:00:00,1547.0,2878.0,13269.0,3801.0
2024-01-11 07:00:00,1499.0,3056.0,13376.0,3852.0
2024-01-11 08:00:00,1554.0,2602.0,13239.0,3781.0
2024-01-11 09:00:00,1502.0,2357.0,13290.0,3767.0
2024-01-11 10:00:00,1492.0,2747.0,12938.0,3809.0
2024-01-11 11:00:00,1632.0,2948.0,12612.0,3771.0
2024-01-11 12:00:00,1638.0,2610.0,12549.0,3795.0
2024-01-11 13:00:00,1561.0,2596.0,13304.0,3715.0
2024-01-11 14:00:00,1531.0,2537.0,13601.0,3652.0
2024-01-11 15:00:00,1343.0,2551.0,13880.0,3659.0
2024-01-11 16:00:00,1100.0,2428.0,14035.0,3792.0
2024-01-11 17:00:00,1134.0,2410.0,13851.0,3867.0
2024-01-11 18:00:00,1251.0,2327.0,13597.0,3864.0
2024-01-11 19:00:00,1229.0,2319.0,13197.0,3805.0
2024-01-11 20:00:00,1232.0,2175.0,12729.0,3753.0
2024-01-11 21:00:00,1237.0,2105.0,12250.0,3683.0
2024-01-11 22:00:00,1272.0,2204.0,11668.0,3568.0
2024-01-11 23:00:00,1488.0,2071.0,11154.0,3467.0
2024-01-12 00:00:00,1617.0,2107.0,10880.0,3341.0
2024-01-12 01:00:00,1404.0,2182.0,10854.0,3173.0
2024-01-12 02:00:00,1163.0,2159.0,10883.0,3057.0
2024-01-12 03:00:00,1027.0,2080.0,10989.0,3138.0
2024-01-12 04:00:00,1242.0,2022.0,11361.0,3337.0
2024-01-12 05:00:00,1420.0,2261.0,12473.0,3654.0
2024-01-12 06:00:00,1476.0,2387.0,13306.0,3987.0
2024-01-12 07:00:00,1659.0,2413.0,13618.0,4021.0
2024-01-12 08:00:00,1777.0,2502.0,13560.0,3995.0
2024-01-12 09:00:00,1676.0,2514.0,13468.0,3961.0
2024-01-12 10:00:00,1671.0,2493.0,13199.0,3848.0
2024-01-12 11:00:00,1636.0,2426.0,13086.0,3600.0
2024-01-12 12:00:00,1645.0,2322.0,12757.0,3608.0
2024-01-12 13:00:00,1644.0,2433.0,12703.0,3665.0
2024-01-12 14:00:00,1683.0,2495.0,12767.0,3700.0
2024-01-12 15:00:00,1727.0,2329.0,13082.0,3807.0
2024-01-12 16:00:00,1790.0,2219.0,13126.0,3803.0
2024-01-12 17:00:00,1894.0,2285.0,13002.0,3704.0
2024-01-12 18:00:00,2101.0,2411.0,12814.0,3564.0
2024-01-12 19:00:00,2134.0,2232.0,12531.0,3423.0
2024-01-12 20:00:00,2225.0,2203.0,12110.0,3237.0
2024-01-12 21:00:00,1738.0,2167.0,11655.0,3159.0
2024-01-12 22:00:00,1515.0,1935.0,11123.0,3166.0
2024-01-12 23:00:00,1371.0,1878.0,10755.0,3182.0
2024-01-13 00:00:00,1266.0,2043.0,10743.0,3163.0
2024-01-13 01:00:00,1330.0,2037.0,10736.0,3238.0
2024-01-13 02:00:00,1419.0,1927.0,10569.0,3254.0
2024-01-13 03:00:00,1574.0,1954.0,10632.0,3129.0
2024-01-13 04:00:00,1638.0,1899.0,10729.0,2936.0
2024-01-13 05:00:00,1682.0,1932.0,10876.0,3129.0
2024-01-13 06:00:00,1534.0,2022.0,11177.0,3275.0
2024-01-13 07:00:00,1395.0,2247.0,11390.0,3410.0
2024-01-13 08:00:00,1352.0,2372.0,11705.0,3500.0
2024-01-13 09:00:00,1188.0,2431.0,12115.0,3473.0
2024-01-13 10:00:00,1307.0,2255.0,12139.0,3437.0
2024-01-13 11:00:00,1602.0,2066.0,12112.0,3327.0
2024-01-13 12:00:00,1537.0,1966.0,12062.0,3357.0
2024-01-13 13:00:00,1354.0,2024.0,12004.0,3333.0
2024-01-13 14:00:00,1373.0,2282.0,12101.0,3396.0
2024-01-13 15:00:00,1674.0,2457.0,12455.0,3484.0
2024-01-13 16:00:00,1723.0,2349.0,12638.0,3510.0
2024-01-13 17:00:00,1665.0,2527.0,12571.0,3351.0
2024-01-13 18:00:00,1640.0,2492.0,12186.0,3250.0
2024-01-13 19:00:00,1390.0,2350.0,11885.0,3223.0
2024-01-13 20:00:00,1354.0,2403.0,11550.0,3123.0
2024-01-13 21:00:00,1683.0,2356.0,11151.0,2987.0
2024-01-13 22:00:00,1671.0,2328.0,10823.0,2918.0
2024-01-13 23:00:00,1595.0,2164.0,10583.0,2979.0
2024-01-14 00:00:00,1515.0,2218.0,10292.0,2906.0
2024-01-14 01:00:00,1499.0,2137.0,10164.0,2851.0
2024-01-14 02:00:00,1520.0,2068.0,10114.0,2812.0
2024-01-14 03:00:00,1566.0,2152.0,10180.0,2768.0
2024-01-14 04:00:00,1458.0,2156.0,10245.0,2793.0
2024-01-14 05:00:00,1405.0,2218.0,10487.0,2906.0
2024-01-14 06:00:00,1363.0,2322.0,10922.0,3038.0
2024-01-14 07:00:00,1408.0,2417.0,11240.0,3124.0
2024-01-14 08:00:00,1600.0,2604.0,11656.0,3166.0
2024-01-14 09:00:00,1691.0,2647.0,12024.0,3186.0
2024-01-14 10:00:00,1640.0,2695.0,12211.0,3131.0
2024-01-14 11:00:00,1495.0,2694.0,12263.0,3114.0
2024-01-14 12:00:00,1531.0,2625.0,12188.0,3097.0
2024-01-14 13:00:00,1661.0,2663.0,12251.0,3153.0
2024-01-14 14:00:00,1827.0,2707.0,12525.0,3226.0
2024-01-14 15:00:00,1829.0,2827.0,12870.0,3377.0
2024-01-14 16:00:00,1744.0,2872.0,13168.0,3493.0
2024-01-14 17:00:00,1578.0,2741.0,13033.0,3466.0
2024-01-14 18:00:00,1521.0,2667.0,12925.0,3319.0
2024-01-14 19:00:00,1614.0,2684.0,12751.0,3208.0
2024-01-14 20:00:00,1587.0,2593.0,12388.0,3059.0
2024-01-14 21:00:00,1647.0,2450.0,11906.0,3018.0
2024-01-14 22:00:00,1578.0,2433.0,11444.0,3012.0
2024-01-14 23:00:00,1477.0,2107.0,11134.0,2935.0
