timestep,neighbor,flow_mw,direction,cost_eur
2024-01-11 01:00:00,DK2,-1700.0,export,-166277.0
2024-01-11 01:00:00,PL,-600.0,export,-63798.0
2024-01-11 01:00:00,LT,-700.0,export,-72037.0
2024-01-11 01:00:00,DE,-615.0,export,-60386.85
2024-01-11 02:00:00,NO1,-2145.0,export,-203860.8
2024-01-11 02:00:00,NO3,1000.0,import,54890.0
2024-01-11 02:00:00,NO4,600.0,import,9720.0
2024-01-11 02:00:00,FI,-1425.29,export,-117942.75
2024-01-11 02:00:00,DK1,-740.0,export,-72283.2
2024-01-11 02:00:00,DK2,-1700.0,export,-166277.0
2024-01-11 02:00:00,PL,-600.0,export,-63798.0
2024-01-11 02:00:00,LT,-700.0,export,-72037.0
2024-01-11 02:00:00,DE,-615.0,export,-60386.85
2024-01-11 03:00:00,NO1,-2145.0,export,-203860.8
2024-01-11 03:00:00,NO3,1000.0,import,54890.0
2024-01-11 03:00:00,NO4,600.0,import,9720.0
2024-01-11 03:00:00,FI,-1437.84,export,-118981.26
2024-01-11 03:00:00,DK1,-740.0,export,-72283.2
2024-01-11 03:00:00,DK2,-1700.0,export,-166277.0
2024-01-11 03:00:00,PL,-600.0,export,-63798.0
2024-01-11 03:00:00,LT,-700.0,export,-72037.0
2024-01-11 03:00:00,DE,-615.0,export,-60386.85
2024-01-11 04:00:00,NO1,-2145.0,export,-203860.8
2024-01-11 04:00:00,NO3,1000.0,import,54890.0
2024-01-11 04:00:00,NO4,600.0,import,9720.0
2024-01-11 04:00:00,FI,-901.48,export,-74597.47
2024-01-11 04:00:00,DK1,-740.0,export,-72283.2
2024-01-11 04:00:00,DK2,-1700.0,export,-166277.0
2024-01-11 04:00:00,PL,-600.0,export,-63798.0
2024-01-11 04:00:00,LT,-700.0,export,-72037.0
2024-01-11 04:00:00,DE,-615.0,export,-60386.85
2024-01-11 05:00:00,NO1,-2132.4,export,-202663.76
2024-01-11 05:00:00,NO3,1000.0,import,54890.0
2024-01-11 05:00:00,NO4,600.0,import,9720.0
2024-01-11 05:00:00,FI,-444.18,export,-36755.49
2024-01-11 05:00:00,DK1,-740.0,export,-72283.2
2024-01-11 05:00:00,DK2,-1700.0,export,-166277.0
2024-01-11 05:00:00,PL,-600.0,export,-63798.0
2024-01-11 05:00:00,LT,-700.0,export,-72037.0
2024-01-11 05:00:00,DE,-615.0,export,-60386.85
2024-01-11 06:00:00,NO1,-877.63,export,-83409.98
2024-01-11 06:00:00,NO3,744.13,import,40845.31
2024-01-11 06:00:00,NO4,600.0,import,9720.0
2024-01-11 06:00:00,FI,-1500.0,export,-124125.0
2024-01-11 06:00:00,DK1,-740.0,export,-72283.2
2024-01-11 06:00:00,DK2,-1595.45,export,-156050.96
2024-01-11 06:00:00,PL,-600.0,export,-63798.0
