timestep,neighbor,flow_mw,direction,cost_eur
2024-01-10 19:00:00,NO1,340.8,import,32389.63
2024-01-10 19:00:00,NO3,-618.0,export,-33922.02
2024-01-10 19:00:00,NO4,600.0,import,9720.0
2024-01-10 19:00:00,FI,-1500.0,export,-124125.0
2024-01-10 19:00:00,DK1,-740.0,export,-72283.2
2024-01-10 19:00:00,DK2,-1488.62,export,-145601.92
2024-01-10 19:00:00,PL,-600.0,export,-63798.0
2024-01-10 19:00:00,LT,-700.0,export,-72037.0
2024-01-10 19:00:00,DE,-615.0,export,-60386.85
2024-01-10 20:00:00,NO1,-77.77,export,-7391.26
2024-01-10 20:00:00,NO3,-435.63,export,-23911.73
2024-01-10 20:00:00,NO4,600.0,import,9720.0
2024-01-10 20:00:00,FI,-1500.0,export,-124125.0
2024-01-10 20:00:00,DK1,-740.0,export,-72283.2
2024-01-10 20:00:00,DK2,-1639.52,export,-160361.45
2024-01-10 20:00:00,PL,-600.0,export,-63798.0
2024-01-10 20:00:00,LT,-700.0,export,-72037.0
2024-01-10 20:00:00,DE,-615.0,export,-60386.85
2024-01-10 21:00:00,NO1,-807.97,export,-76789.47
2024-01-10 21:00:00,NO3,-280.78,export,-15412.01
2024-01-10 21:00:00,NO4,600.0,import,9720.0
2024-01-10 21:00:00,FI,-1500.0,export,-124125.0
2024-01-10 21:00:00,DK1,-740.0,export,-72283.2
2024-01-10 21:00:00,DK2,-1700.0,export,-166277.0
2024-01-10 21:00:00,PL,-600.0,export,-63798.0
2024-01-10 21:00:00,LT,-700.0,export,-72037.0
2024-01-10 21:00:00,DE,-615.0,export,-60386.85
2024-01-10 22:00:00,NO1,-1512.5,export,-143748.0
2024-01-10 22:00:00,NO3,-178.46,export,-9795.67
2024-01-10 22:00:00,NO4,600.0,import,9720.0
2024-01-10 22:00:00,FI,-1500.0,export,-124125.0
2024-01-10 22:00:00,DK1,-740.0,export,-72283.2
2024-01-10 22:00:00,DK2,-1700.0,export,-166277.0
2024-01-10 22:00:00,PL,-600.0,export,-63798.0
2024-01-10 22:00:00,LT,-700.0,export,-72037.0
2024-01-10 22:00:00,DE,-615.0,export,-60386.85
2024-01-10 23:00:00,NO1,-2127.88,export,-202233.72
2024-01-10 23:00:00,NO3,524.6,import,28795.29
2024-01-10 23:00:00,NO4,600.0,import,9720.0
2024-01-10 23:00:00,FI,-1500.0,export,-124125.0
2024-01-10 23:00:00,DK1,-740.0,export,-72283.2
2024-01-10 23:00:00,DK2,-1700.0,export,-166277.0
2024-01-10 23:00:00,PL,-600.0,export,-63798.0
2024-01-10 23:00:00,LT,-700.0,export,-72037.0
2024-01-10 23:00:00,DE,-615.0,export,-60386.85
2024-01-11 00:00:00,NO1,-2145.0,export,-203860.8
2024-01-11 00:00:00,NO3,458.71,import,25178.59
2024-01-11 00:00:00,NO4,600.0,import,9720.0
2024-01-11 00:00:00,FI,-1500.0,export,-124125.0
2024-01-11 00:00:00,DK1,-740.0,export,-72283.2
2024-01-11 00:00:00,DK2,-1700.0,export,-166277.0
2024-01-11 00:00:00,PL,-600.0,export,-63798.0
2024-01-11 00:00:00,LT,-700.0,export,-72037.0
2024-01-11 00:00:00,DE,-615.0,export,-60386.85
2024-01-11 01:00:00,NO1,-2145.0,export,-203860.8
2024-01-11 01:00:00,NO3,536.48,import,29447.39
2024-01-11 01:00:00,NO4,600.0,import,9720.0
2024-01-11 01:00:00,FI,-1500.0,export,-124125.0
2024-01-11 01:00:00,DK1,-740.0,export,-72283.2
2024-01-11 01:00:00,DK2,-1700.0,export,-166277.0
2024-01-11 01:00:00,PL,-600.0,export,-63798.0
2024-01-11 01:00:00,LT,-700.0,export,-72037.0
2024-01-11 01:00:00,DE,-615.0,export,-60386.85
2024-01-11 02:00:00,NO1,-2145.0,export,-203860.8
2024-01-11 02:00:00,NO3,1000.0,import,54890.0
2024-01-11 02:00:00,NO4,600.0,import,9720.0
2024-01-11 02:00:00,FI,-1425.29,export,-117942.75
2024-01-11 02:00:00,DK1,-740.0,export,-72283.2
2024-01-11 02:00:00,DK2,-1700.0,export,-166277.0
