timestep,neighbor,flow_mw,direction,cost_eur
t0056,NO4,600.0,import,4290.0
t0056,FI,-1500.0,export,-88620.0
t0056,DK1,-740.0,export,-71232.4
t0056,DK2,-1700.0,export,-167790.0
t0056,PL,-600.0,export,-84804.0
t0056,LT,-700.0,export,-75467.0
t0056,DE,-615.0,export,-69648.75
t0057,NO1,-181.86,export,-11160.62
t0057,NO3,893.99,import,21652.44
t0057,NO4,600.0,import,4290.0
t0057,FI,-1500.0,export,-88620.0
t0057,DK1,-740.0,export,-71232.4
t0057,DK2,-1700.0,export,-167790.0
t0057,PL,-600.0,export,-84804.0
t0057,LT,-700.0,export,-75467.0
t0057,DE,-615.0,export,-69648.75
t0058,NO1,-54.43,export,-3340.58
t0058,NO3,790.0,import,19133.71
t0058,NO4,600.0,import,4290.0
t0058,FI,-1500.0,export,-88620.0
t0058,DK1,-740.0,export,-71232.4
t0058,DK2,-1700.0,export,-167790.0
t0058,PL,-600.0,export,-84804.0
t0058,LT,-700.0,export,-75467.0
t0058,DE,-615.0,export,-69648.75
t0059,NO1,-85.17,export,-5227.12
t0059,NO3,908.0,import,21991.8
t0059,NO4,600.0,import,4290.0
t0059,FI,-1500.0,export,-88620.0
t0059,DK1,-740.0,export,-71232.4
t0059,DK2,-1700.0,export,-167790.0
t0059,PL,-600.0,export,-84804.0
t0059,LT,-700.0,export,-75467.0
t0059,DE,-615.0,export,-69648.75
t0060,NO1,-59.88,export,-3675.06
t0060,NO3,622.47,import,15076.11
t0060,NO4,600.0,import,4290.0
t0060,FI,-1500.0,export,-88620.0
t0060,DK1,-740.0,export,-71232.4
t0060,DK2,-1700.0,export,-167790.0
t0060,PL,-600.0,export,-84804.0
t0060,LT,-700.0,export,-75467.0
t0060,DE,-615.0,export,-69648.75
t0061,NO1,-0.71,export,-43.57
t0061,NO3,1000.0,import,24220.0
t0061,NO4,600.0,import,4290.0
t0061,FI,-1500.0,export,-88620.0
t0061,DK1,-740.0,export,-71232.4
t0061,DK2,-1700.0,export,-167790.0
t0061,PL,-600.0,export,-84804.0
t0061,LT,-700.0,export,-75467.0
t0061,DE,-615.0,export,-69648.75
t0062,NO1,271.74,import,16676.46
t0062,NO3,429.54,import,10403.45
t0062,NO4,600.0,import,4290.0
t0062,FI,-1500.0,export,-88620.0
t0062,DK1,-740.0,export,-71232.4
t0062,DK2,-1700.0,export,-167790.0
t0062,PL,-600.0,export,-84804.0
t0062,LT,-700.0,export,-75467.0
t0062,DE,-615.0,export,-69648.75
t0063,NO1,633.66,import,38887.63
t0063,NO3,44.68,import,1082.05
t0063,NO4,600.0,import,4290.0
t0063,FI,-1500.0,export,-88620.0
t0063,DK1,-740.0,export,-71232.4
t0063,DK2,-1700.0,export,-167790.0
t0063,PL,-600.0,export,-84804.0
t0063,LT,-700.0,export,-75467.0
t0063,DE,-615.0,export,-69648.75
t0064,NO1,830.3,import,50955.35
t0064,NO3,377.66,import,9146.98
t0064,NO4,600.0,import,4290.0
t0064,FI,-1500.0,export,-88620.0
t0064,DK1,-740.0,export,-71232.4
t0064,DK2,-1700.0,export,-167790.0
t0064,PL,-600.0,export,-84804.0
t0064,LT,-700.0,export,-75467.0
t0064,DE,-615.0,export,-69648.75
t0065,NO1,874.89,import,53692.3
t0065,NO3,292.5,import,7084.36
t0065,NO4,600.0,import,4290.0
t0065,FI,-1500.0,export,-88620.0
t0065,DK1,-740.0,export,-71232.4
t0065,DK2,-1700.0,export,-167790.0
t0065,PL,-600.0,export,-84804.0
t0065,LT,-700.0,export,-75467.0
t0065,DE,-615.0,export,-69648.75
t0066,NO1,527.53,import,32374.44
t0066,NO3,597.21,import,14464.51
t0066,NO4,600.0,import,4290.0
t0066,FI,-1500.0,export,-88620.0
t0066,DK1,-740.0,export,-71232.4
