timestep,zone,price_eur_mwh
t0131,SE2,0.5
t0131,SE3,40.0
t0131,SE4,50.0
t0132,SE1,0.5
t0132,SE2,0.5
t0132,SE3,40.0
t0132,SE4,50.0
t0133,SE1,0.5
t0133,SE2,0.5
t0133,SE3,40.0
t0133,SE4,50.0
t0134,SE1,0.5
t0134,SE2,0.5
t0134,SE3,40.0
t0134,SE4,50.0
t0135,SE1,0.5
t0135,SE2,0.5
t0135,SE3,40.0
t0135,SE4,50.0
t0136,SE1,0.5
t0136,SE2,0.5
t0136,SE3,40.0
t0136,SE4,50.0
t0137,SE1,0.5
t0137,SE2,0.5
t0137,SE3,40.0
t0137,SE4,50.0
t0138,SE1,0.5
t0138,SE2,0.5
t0138,SE3,40.0
t0138,SE4,50.0
t0139,SE1,0.5
t0139,SE2,0.5
t0139,SE3,40.0
t0139,SE4,50.0
t0140,SE1,0.5
t0140,SE2,0.5
t0140,SE3,40.0
t0140,SE4,50.0
t0141,SE1,0.5
t0141,SE2,0.5
t0141,SE3,40.0
t0141,SE4,50.0
t0142,SE1,0.5
t0142,SE2,0.5
t0142,SE3,40.0
t0142,SE4,40.0
t0143,SE1,0.5
t0143,SE2,0.5
t0143,SE3,40.0
t0143,SE4,40.0
t0144,SE1,0.5
t0144,SE2,0.5
t0144,SE3,40.0
t0144,SE4,40.0
t0145,SE1,0.5
t0145,SE2,0.5
t0145,SE3,40.0
t0145,SE4,40.0
t0146,SE1,0.5
t0146,SE2,0.5
t0146,SE3,40.0
t0146,SE4,40.0
t0147,SE1,0.5
t0147,SE2,0.5
t0147,SE3,40.0
t0147,SE4,40.0
t0148,SE1,0.5
t0148,SE2,0.5
t0148,SE3,40.0
t0148,SE4,40.0
t0149,SE1,0.5
t0149,SE2,0.5
t0149,SE3,40.0
t0149,SE4,40.0
t0150,SE1,0.5
t0150,SE2,0.5
t0150,SE3,40.0
t0150,SE4,40.0
t0151,SE1,0.5
t0151,SE2,0.5
t0151,SE3,40.0
t0151,SE4,50.0
t0152,SE1,0.5
t0152,SE2,0.5
t0152,SE3,40.0
t0152,SE4,50.0
t0153,SE1,0.5
t0153,SE2,0.5
t0153,SE3,40.0
t0153,SE4,50.0
t0154,SE1,0.5
t0154,SE2,0.5
t0154,SE3,40.0
t0154,SE4,50.0
t0155,SE1,0.5
t0155,SE2,0.5
t0155,SE3,40.0
t0155,SE4,50.0
t0156,SE1,0.5
t0156,SE2,0.5
t0156,SE3,40.0
t0156,SE4,50.0
t0157,SE1,0.5
t0157,SE2,0.5
t0157,SE3,40.0
t0157,SE4,50.0
t0158,SE1,0.5
t0158,SE2,0.5
t0158,SE3,40.0
t0158,SE4,50.0
t0159,SE1,0.5
t0159,SE2,0.5
t0159,SE3,40.0
t0159,SE4,50.0
t0160,SE1,0.5
t0160,SE2,0.5
t0160,SE3,40.0
t0160,SE4,50.0
t0161,SE1,0.5
t0161,SE2,0.5
t0161,SE3,40.0
t0161,SE4,50.0
t0162,SE1,0.5
t0162,SE2,0.5
t0162,SE3,40.0
t0162,SE4,50.0
t0163,SE1,0.5
t0163,SE2,0.5
t0163,SE3,40.0
t0163,SE4,50.0
t0164,SE1,0.5
t0164,SE2,0.5
t0164,SE3,40.0
t0164,SE4,50.0
t0165,SE1,0.5
t0165,SE2,0.5
t0165,SE3,40.0
t0165,SE4,50.0
t0166,SE1,0.5
t0166,SE2,0.5
t0166,SE3,40.0
t0166,SE4,40.0
t0167,SE1,0.5
t0167,SE2,0.5
t0167,SE3,40.0
t0167,SE4,40.0
t0168,SE1,0.5
t0168,SE2,0.5
t0168,SE3,40.0
t0168,SE4,40.0
