timestep,plant,generation_mw
t0020,SE1_wind,2071.36
t0020,SE1_chp_district,119.2
t0020,SE1_chp_industry,93.6
t0020,SE1_gasturbine,0.0
t0020,SE1_solar,0.0
t0020,SE2_hydro,5103.57
t0020,SE2_wind,2362.88
t0020,SE2_chp_district,185.6
t0020,SE2_chp_industry,423.2
t0020,SE2_gasturbine,0.0
t0020,SE2_solar,0.0
t0020,SE3_hydro,1171.9
t0020,SE3_nuclear,5802.8
t0020,SE3_wind,2081.96
t0020,SE3_chp_district,1600.8
t0020,SE3_chp_industry,420.0
t0020,SE3_gasturbine,0.0
t0020,SE3_solar,0.19
t0020,SE4_hydro,138.87
t0020,SE4_wind,1019.48
t0020,SE4_chp_district,368.0
t0020,SE4_chp_industry,332.0
t0020,SE4_gasturbine,0.0
t0020,SE4_condensing,226.72
t0020,SE4_solar,0.56
t0021,SE1_hydro,1567.98
t0021,SE1_wind,2051.41
t0021,SE1_chp_district,119.2
t0021,SE1_chp_industry,93.6
t0021,SE1_gasturbine,0.0
t0021,SE1_solar,0.0
t0021,SE2_hydro,5153.15
t0021,SE2_wind,2424.36
t0021,SE2_chp_district,185.6
t0021,SE2_chp_industry,423.2
t0021,SE2_gasturbine,0.0
t0021,SE2_solar,0.0
t0021,SE3_hydro,1165.93
t0021,SE3_nuclear,5802.8
t0021,SE3_wind,2140.09
t0021,SE3_chp_district,891.12
t0021,SE3_chp_industry,420.0
t0021,SE3_gasturbine,0.0
t0021,SE3_solar,0.19
t0021,SE4_hydro,138.49
t0021,SE4_wind,1024.33
t0021,SE4_chp_district,368.0
t0021,SE4_chp_industry,332.0
t0021,SE4_gasturbine,0.0
t0021,SE4_condensing,0.0
t0021,SE4_solar,0.56
t0022,SE1_hydro,1543.39
t0022,SE1_wind,2115.5
t0022,SE1_chp_district,0.0
t0022,SE1_chp_industry,93.6
t0022,SE1_gasturbine,0.0
t0022,SE1_solar,0.0
t0022,SE2_hydro,5236.06
t0022,SE2_wind,2472.71
t0022,SE2_chp_district,185.6
t0022,SE2_chp_industry,423.2
t0022,SE2_gasturbine,0.0
t0022,SE2_solar,0.0
t0022,SE3_hydro,987.92
t0022,SE3_nuclear,5802.8
t0022,SE3_wind,2181.44
t0022,SE3_chp_district,0.0
t0022,SE3_chp_industry,420.0
t0022,SE3_gasturbine,0.0
t0022,SE3_solar,0.19
t0022,SE4_hydro,87.44
t0022,SE4_wind,983.17
t0022,SE4_chp_district,330.43
t0022,SE4_chp_industry,332.0
t0022,SE4_gasturbine,0.0
t0022,SE4_condensing,0.0
t0022,SE4_solar,0.56
t0023,SE1_hydro,1522.54
t0023,SE1_wind,2199.23
t0023,SE1_chp_district,0.0
t0023,SE1_chp_industry,65.48
t0023,SE1_gasturbine,0.0
t0023,SE1_solar,0.0
t0023,SE2_hydro,5210.86
t0023,SE2_wind,2733.79
t0023,SE2_chp_district,0.0
t0023,SE2_chp_industry,423.2
t0023,SE2_gasturbine,0.0
t0023,SE2_solar,0.0
t0023,SE3_hydro,941.47
t0023,SE3_nuclear,5802.8
t0023,SE3_wind,2250.49
t0023,SE3_chp_district,0.0
t0023,SE3_chp_industry,61.01
t0023,SE3_gasturbine,0.0
t0023,SE3_solar,0.19
t0023,SE4_hydro,81.16
t0023,SE4_wind,920.22
t0023,SE4_chp_district,0.0
t0023,SE4_chp_industry,332.0
t0023,SE4_gasturbine,0.0
t0023,SE4_condensing,0.0
t0023,SE4_solar,0.56
t0024,SE1_hydro,1307.63
t0024,SE1_wind,2206.79
t0024,SE1_chp_district,0.0
t0024,SE1_chp_industry,0.0
t0024,SE1_gasturbine,0.0
t0024,SE1_solar,0.0
t0024,SE2_hydro,5303.52
t0024,SE2_wind,3001.78
t0024,SE2_chp_district,0.0
t0024,SE2_chp_industry,0.0
t0024,SE2_gasturbine,0.0
t0024,SE2_solar,0.0
t0024,SE3_hydro,900.21
t0024,SE3_nuclear,5802.8
t0024,SE3_wind,2276.62
t0024,SE3_chp_district,0.0
t0024,SE3_chp_industry,273.18
t0024,SE3_gasturbine,0.0
t0024,SE3_solar,0.19
t0024,SE4_hydro,80.85
t0024,SE4_wind,869.87
t0024,SE4_chp_district,0.0
