timestep,line,flow_mw,capacity_mw,utilization_pct
2024-07-16 11:00:00,L_NO1_SE3,2145.0,2145.0,100.0
2024-07-16 11:00:00,L_NO3_SE2,1000.0,1000.0,100.0
2024-07-16 11:00:00,L_NO4_SE1,600.0,600.0,100.0
2024-07-16 11:00:00,L_FI_SE1,1500.0,1500.0,100.0
2024-07-16 11:00:00,L_DK1_SE3,-740.0,740.0,100.0
2024-07-16 11:00:00,L_DK2_SE4,-1700.0,1700.0,100.0
2024-07-16 11:00:00,L_PL_SE4,-600.0,600.0,100.0
2024-07-16 11:00:00,L_LT_SE4,-700.0,700.0,100.0
2024-07-16 11:00:00,L_DE_SE4,-615.0,615.0,100.0
2024-07-16 12:00:00,L_SE1_SE2,1854.68,3300.0,56.2
2024-07-16 12:00:00,L_SE2_SE3,4694.44,7300.0,64.31
2024-07-16 12:00:00,L_SE3_SE4,5213.02,5300.0,98.36
2024-07-16 12:00:00,L_NO1_SE3,1938.45,2145.0,90.37
2024-07-16 12:00:00,L_NO3_SE2,1000.0,1000.0,100.0
2024-07-16 12:00:00,L_NO4_SE1,600.0,600.0,100.0
2024-07-16 12:00:00,L_FI_SE1,1500.0,1500.0,100.0
2024-07-16 12:00:00,L_DK1_SE3,-740.0,740.0,100.0
2024-07-16 12:00:00,L_DK2_SE4,-1700.0,1700.0,100.0
2024-07-16 12:00:00,L_PL_SE4,-600.0,600.0,100.0
2024-07-16 12:00:00,L_LT_SE4,-700.0,700.0,100.0
2024-07-16 12:00:00,L_DE_SE4,-615.0,615.0,100.0
2024-07-16 13:00:00,L_SE1_SE2,2118.04,3300.0,64.18
2024-07-16 13:00:00,L_SE2_SE3,5288.37,7300.0,72.44
2024-07-16 13:00:00,L_SE3_SE4,5192.91,5300.0,97.98
2024-07-16 13:00:00,L_NO1_SE3,1474.43,2145.0,68.74
2024-07-16 13:00:00,L_NO3_SE2,1000.0,1000.0,100.0
2024-07-16 13:00:00,L_NO4_SE1,600.0,600.0,100.0
2024-07-16 13:00:00,L_FI_SE1,1500.0,1500.0,100.0
2024-07-16 13:00:00,L_DK1_SE3,-740.0,740.0,100.0
2024-07-16 13:00:00,L_DK2_SE4,-1700.0,1700.0,100.0
2024-07-16 13:00:00,L_PL_SE4,-600.0,600.0,100.0
2024-07-16 13:00:00,L_LT_SE4,-700.0,700.0,100.0
2024-07-16 13:00:00,L_DE_SE4,-615.0,615.0,100.0
2024-07-16 14:00:00,L_SE1_SE2,2931.39,3300.0,88.83
2024-07-16 14:00:00,L_SE2_SE3,6534.06,7300.0,89.51
2024-07-16 14:00:00,L_SE3_SE4,5048.73,5300.0,95.26
2024-07-16 14:00:00,L_NO1_SE3,249.52,2145.0,11.63
2024-07-16 14:00:00,L_NO3_SE2,1000.0,1000.0,100.0
2024-07-16 14:00:00,L_NO4_SE1,600.0,600.0,100.0
2024-07-16 14:00:00,L_FI_SE1,1500.0,1500.0,100.0
2024-07-16 14:00:00,L_DK1_SE3,-740.0,740.0,100.0
2024-07-16 14:00:00,L_DK2_SE4,-1700.0,1700.0,100.0
2024-07-16 14:00:00,L_PL_SE4,-600.0,600.0,100.0
2024-07-16 14:00:00,L_LT_SE4,-700.0,700.0,100.0
2024-07-16 14:00:00,L_DE_SE4,-615.0,615.0,100.0
2024-07-16 15:00:00,L_SE1_SE2,3300.0,3300.0,100.0
2024-07-16 15:00:00,L_SE2_SE3,7251.13,7300.0,99.33
2024-07-16 15:00:00,L_SE3_SE4,5018.18,5300.0,94.68
2024-07-16 15:00:00,L_NO1_SE3,-325.49,2145.0,15.17
2024-07-16 15:00:00,L_NO3_SE2,1000.0,1000.0,100.0
2024-07-16 15:00:00,L_NO4_SE1,600.0,600.0,100.0
2024-07-16 15:00:00,L_FI_SE1,864.94,1500.0,57.66
2024-07-16 15:00:00,L_DK1_SE3,-740.0,740.0,100.0
2024-07-16 15:00:00,L_DK2_SE4,-1700.0,1700.0,100.0
2024-07-16 15:00:00,L_PL_SE4,-600.0,600.0,100.0
2024-07-16 15:00:00,L_LT_SE4,-700.0,700.0,100.0
2024-07-16 15:00:00,L_DE_SE4,-615.0,615.0,100.0
2024-07-16 16:00:00,L_SE1_SE2,3300.0,3300.0,100.0
2024-07-16 16:00:00,L_SE2_SE3,7300.0,7300.0,100.0
2024-07-16 16:00:00,L_SE3_SE4,5190.76,5300.0,97.94
2024-07-16 16:00:00,L_NO1_SE3,-216.71,2145.0,10.1
2024-07-16 16:00:00,L_NO3_SE2,602.62,1000.0,60.26
2024-07-16 16:00:00,L_NO4_SE1,600.0,600.0,100.0
2024-07-16 16:00:00,L_FI_SE1,494.33,1500.0,32.96
2024-07-16 16:00:00,L_DK1_SE3,-740.0,740.0,100.0
2024-07-16 16:00:00,L_DK2_SE4,-1700.0,1700.0,100.0
2024-07-16 16:00:00,L_PL_SE4,-600.0,600.0,100.0
2024-07-16 16:00:00,L_LT_SE4,-700.0,700.0,100.0
2024-07-16 16:00:00,L_DE_SE4,-615.0,615.0,100.0
2024-07-16 17:00:00,L_SE1_SE2,3300.0,3300.0,100.0
2024-07-16 17:00:00,L_SE2_SE3,7300.0,7300.0,100.0
2024-07-16 17:00:00,L_SE3_SE4,5253.98,5300.0,99.13
2024-07-16 17:00:00,L_NO1_SE3,-178.07,2145.0,8.3
2024-07-16 17:00:00,L_NO3_SE2,671.66,1000.0,67.17
2024-07-16 17:00:00,L_NO4_SE1,600.0,600.0,100.0
2024-07-16 17:00:00,L_FI_SE1,545.56,1500.0,36.37
2024-07-16 17:00:00,L_DK1_SE3,-740.0,740.0,100.0
2024-07-16 17:00:00,L_DK2_SE4,-1700.0,1700.0,100.0
2024-07-16 17:00:00,L_PL_SE4,-600.0,600.0,100.0
2024-07-16 17:00:00,L_LT_SE4,-700.0,700.0,100.0
2024-07-16 17:00:00,L_DE_SE4,-615.0,615.0,100.0
2024-07-16 18:00:00,L_SE1_SE2,3300.0,3300.0,100.0
2024-07-16 18:00:00,L_SE2_SE3,7300.0,7300.0,100.0
2024-07-16 18:00:00,L_SE3_SE4,5158.33,5300.0,97.33
2024-07-16 18:00:00,L_NO1_SE3,-497.93,2145.0,23.21
2024-07-16 18:00:00,L_NO3_SE2,792.52,1000.0,79.25
2024-07-16 18:00:00,L_NO4_SE1,600.0,600.0,100.0
2024-07-16 18:00:00,L_FI_SE1,375.37,1500.0,25.02
2024-07-16 18:00:00,L_DK1_SE3,-740.0,740.0,100.0
2024-07-16 18:00:00,L_DK2_SE4,-1700.0,1700.0,100.0
2024-07-16 18:00:00,L_PL_SE4,-600.0,600.0,100.0
2024-07-16 18:00:00,L_LT_SE4,-700.0,700.0,100.0
2024-07-16 18:00:00,L_DE_SE4,-615.0,615.0,100.0
2024-07-16 19:00:00,L_SE1_SE2,3300.0,3300.0,100.0
2024-07-16 19:00:00,L_SE2_SE3,7300.0,7300.0,100.0
2024-07-16 19:00:00,L_SE3_SE4,5162.97,5300.0,97.41
2024-07-16 19:00:00,L_NO1_SE3,-647.98,2145.0,30.21
2024-07-16 19:00:00,L_NO3_SE2,856.05,1000.0,85.61
2024-07-16 19:00:00,L_NO4_SE1,600.0,600.0,100.0
2024-07-16 19:00:00,L_FI_SE1,903.48,1500.0,60.23
2024-07-16 19:00:00,L_DK1_SE3,-740.0,740.0,100.0
2024-07-16 19:00:00,L_DK2_SE4,-1700.0,1700.0,100.0
2024-07-16 19:00:00,L_PL_SE4,-600.0,600.0,100.0
2024-07-16 19:00:00,L_LT_SE4,-700.0,700.0,100.0
2024-07-16 19:00:00,L_DE_SE4,-615.0,615.0,100.0
2024-07-16 20:00:00,L_SE1_SE2,3300.0,3300.0,100.0
2024-07-16 20:00:00,L_SE2_SE3,7300.0,7300.0,100.0
2024-07-16 20:00:00,L_SE3_SE4,5171.9,5300.0,97.58
2024-07-16 20:00:00,L_NO1_SE3,-882.98,2145.0,41.16
2024-07-16 20:00:00,L_NO3_SE2,782.58,1000.0,78.26
2024-07-16 20:00:00,L_NO4_SE1,600.0,600.0,100.0
2024-07-16 20:00:00,L_FI_SE1,992.68,1500.0,66.18
2024-07-16 20:00:00,L_DK1_SE3,-740.0,740.0,100.0
2024-07-16 20:00:00,L_DK2_SE4,-1700.0,1700.0,100.0
2024-07-16 20:00:00,L_PL_SE4,-600.0,600.0,100.0
2024-07-16 20:00:00,L_LT_SE4,-700.0,700.0,100.0
2024-07-16 20:00:00,L_DE_SE4,-615.0,615.0,100.0
2024-07-16 21:00:00,L_SE1_SE2,3166.64,3300.0,95.96
2024-07-16 21:00:00,L_SE2_SE3,7300.0,7300.0,100.0
2024-07-16 21:00:00,L_SE3_SE4,5032.22,5300.0,94.95
2024-07-16 21:00:00,L_NO1_SE3,-1379.92,2145.0,64.33
2024-07-16 21:00:00,L_NO3_SE2,821.5,1000.0,82.15
2024-07-16 21:00:00,L_NO4_SE1,600.0,600.0,100.0
2024-07-16 21:00:00,L_FI_SE1,1500.0,1500.0,100.0
2024-07-16 21:00:00,L_DK1_SE3,-740.0,740.0,100.0
2024-07-16 21:00:00,L_DK2_SE4,-1700.0,1700.0,100.0
2024-07-16 21:00:00,L_PL_SE4,-600.0,600.0,100.0
2024-07-16 21:00:00,L_LT_SE4,-700.0,700.0,100.0
2024-07-16 21:00:00,L_DE_SE4,-615.0,615.0,100.0
2024-07-16 22:00:00,L_SE1_SE2,2609.39,3300.0,79.07
2024-07-16 22:00:00,L_SE2_SE3,6721.51,7300.0,92.08
2024-07-16 22:00:00,L_SE3_SE4,4914.3,5300.0,92.72
2024-07-16 22:00:00,L_NO1_SE3,-1226.41,2145.0,57.18
2024-07-16 22:00:00,L_NO3_SE2,1000.0,1000.0,100.0
2024-07-16 22:00:00,L_NO4_SE1,600.0,600.0,100.0
2024-07-16 22:00:00,L_FI_SE1,1500.0,1500.0,100.0
2024-07-16 22:00:00,L_DK1_SE3,-740.0,740.0,100.0
2024-07-16 22:00:00,L_DK2_SE4,-1700.0,1700.0,100.0
2024-07-16 22:00:00,L_PL_SE4,-600.0,600.0,100.0
2024-07-16 22:00:00,L_LT_SE4,-700.0,700.0,100.0
2024-07-16 22:00:00,L_DE_SE4,-615.0,615.0,100.0
2024-07-16 23:00:00,L_SE1_SE2,2516.63,3300.0,76.26
2024-07-16 23:00:00,L_SE2_SE3,6595.81,7300.0,90.35
2024-07-16 23:00:00,L_SE3_SE4,4831.58,5300.0,91.16
2024-07-16 23:00:00,L_NO1_SE3,-1382.05,2145.0,64.43
2024-07-16 23:00:00,L_NO3_SE2,1000.0,1000.0,100.0
2024-07-16 23:00:00,L_NO4_SE1,600.0,600.0,100.0
2024-07-16 23:00:00,L_FI_SE1,1500.0,1500.0,100.0
