timestep,line,flow_mw,capacity_mw,utilization_pct
2024-07-16 13:00:00,L_FI_SE3,-329.29,1200.0,27.44
2024-07-16 13:00:00,L_DK1_SE3,740.0,740.0,100.0
2024-07-16 13:00:00,L_DK2_SE4,1700.0,1700.0,100.0
2024-07-16 13:00:00,L_PL_SE4,600.0,600.0,100.0
2024-07-16 13:00:00,L_LT_SE4,700.0,700.0,100.0
2024-07-16 13:00:00,L_DE_SE4,615.0,615.0,100.0
2024-07-16 14:00:00,L_SE1_SE2,956.02,3300.0,28.97
2024-07-16 14:00:00,L_SE2_SE3,3558.69,7300.0,48.75
2024-07-16 14:00:00,L_SE3_SE4,1433.73,5300.0,27.05
2024-07-16 14:00:00,L_NO4_SE1,-600.0,600.0,100.0
2024-07-16 14:00:00,L_NO3_SE2,-1000.0,1000.0,100.0
2024-07-16 14:00:00,L_NO1_SE3,-249.52,2145.0,11.63
2024-07-16 14:00:00,L_FI_SE1,-1375.37,1500.0,91.69
2024-07-16 14:00:00,L_FI_SE3,-124.63,1200.0,10.39
2024-07-16 14:00:00,L_DK1_SE3,740.0,740.0,100.0
2024-07-16 14:00:00,L_DK2_SE4,1700.0,1700.0,100.0
2024-07-16 14:00:00,L_PL_SE4,600.0,600.0,100.0
2024-07-16 14:00:00,L_LT_SE4,700.0,700.0,100.0
2024-07-16 14:00:00,L_DE_SE4,615.0,615.0,100.0
2024-07-16 15:00:00,L_SE1_SE2,1731.03,3300.0,52.46
2024-07-16 15:00:00,L_SE2_SE3,4682.16,7300.0,64.14
2024-07-16 15:00:00,L_SE3_SE4,1403.18,5300.0,26.48
2024-07-16 15:00:00,L_NO4_SE1,-600.0,600.0,100.0
2024-07-16 15:00:00,L_NO3_SE2,-766.25,1000.0,76.63
2024-07-16 15:00:00,L_NO1_SE3,726.8,2145.0,33.88
2024-07-16 15:00:00,L_FI_SE1,-1604.03,1500.0,100.0
2024-07-16 15:00:00,L_FI_SE3,104.03,1200.0,8.67
2024-07-16 15:00:00,L_DK1_SE3,740.0,740.0,100.0
2024-07-16 15:00:00,L_DK2_SE4,1700.0,1700.0,100.0
2024-07-16 15:00:00,L_PL_SE4,600.0,600.0,100.0
2024-07-16 15:00:00,L_LT_SE4,700.0,700.0,100.0
2024-07-16 15:00:00,L_DE_SE4,615.0,615.0,100.0
2024-07-16 16:00:00,L_SE1_SE2,1976.21,3300.0,59.89
2024-07-16 16:00:00,L_SE2_SE3,5373.59,7300.0,73.61
2024-07-16 16:00:00,L_SE3_SE4,1575.76,5300.0,29.73
2024-07-16 16:00:00,L_NO4_SE1,-600.0,600.0,100.0
2024-07-16 16:00:00,L_NO3_SE2,205.42,1000.0,20.54
2024-07-16 16:00:00,L_NO1_SE3,414.34,2145.0,19.32
2024-07-16 16:00:00,L_FI_SE1,-1729.46,1500.0,100.0
2024-07-16 16:00:00,L_FI_SE3,229.46,1200.0,19.12
2024-07-16 16:00:00,L_DK1_SE3,740.0,740.0,100.0
2024-07-16 16:00:00,L_DK2_SE4,1700.0,1700.0,100.0
2024-07-16 16:00:00,L_PL_SE4,600.0,600.0,100.0
2024-07-16 16:00:00,L_LT_SE4,700.0,700.0,100.0
2024-07-16 16:00:00,L_DE_SE4,615.0,615.0,100.0
2024-07-16 17:00:00,L_SE1_SE2,1943.27,3300.0,58.89
2024-07-16 17:00:00,L_SE2_SE3,5271.61,7300.0,72.21
2024-07-16 17:00:00,L_SE3_SE4,1638.98,5300.0,30.92
2024-07-16 17:00:00,L_NO4_SE1,-600.0,600.0,100.0
2024-07-16 17:00:00,L_NO3_SE2,63.75,1000.0,6.37
2024-07-16 17:00:00,L_NO1_SE3,397.1,2145.0,18.51
2024-07-16 17:00:00,L_FI_SE1,-1711.17,1500.0,100.0
2024-07-16 17:00:00,L_FI_SE3,211.17,1200.0,17.6
2024-07-16 17:00:00,L_DK1_SE3,740.0,740.0,100.0
2024-07-16 17:00:00,L_DK2_SE4,1700.0,1700.0,100.0
2024-07-16 17:00:00,L_PL_SE4,600.0,600.0,100.0
2024-07-16 17:00:00,L_LT_SE4,700.0,700.0,100.0
2024-07-16 17:00:00,L_DE_SE4,615.0,615.0,100.0
2024-07-16 18:00:00,L_SE1_SE2,2097.92,3300.0,63.57
2024-07-16 18:00:00,L_SE2_SE3,5305.4,7300.0,72.68
2024-07-16 18:00:00,L_SE3_SE4,1543.33,5300.0,29.12
2024-07-16 18:00:00,L_NO4_SE1,-600.0,600.0,100.0
2024-07-16 18:00:00,L_NO3_SE2,184.17,1000.0,18.42
2024-07-16 18:00:00,L_NO1_SE3,645.87,2145.0,30.11
2024-07-16 18:00:00,L_FI_SE1,-1726.71,1500.0,100.0
2024-07-16 18:00:00,L_FI_SE3,226.71,1200.0,18.89
2024-07-16 18:00:00,L_DK1_SE3,740.0,740.0,100.0
2024-07-16 18:00:00,L_DK2_SE4,1700.0,1700.0,100.0
2024-07-16 18:00:00,L_PL_SE4,600.0,600.0,100.0
2024-07-16 18:00:00,L_LT_SE4,700.0,700.0,100.0
2024-07-16 18:00:00,L_DE_SE4,615.0,615.0,100.0
2024-07-16 19:00:00,L_SE1_SE2,1674.65,3300.0,50.75
2024-07-16 19:00:00,L_SE2_SE3,4818.6,7300.0,66.01
2024-07-16 19:00:00,L_SE3_SE4,1547.97,5300.0,29.21
2024-07-16 19:00:00,L_NO4_SE1,-600.0,600.0,100.0
2024-07-16 19:00:00,L_NO3_SE2,-628.07,1000.0,62.81
2024-07-16 19:00:00,L_NO1_SE3,1016.52,2145.0,47.39
2024-07-16 19:00:00,L_FI_SE1,-1621.87,1500.0,100.0
2024-07-16 19:00:00,L_FI_SE3,121.87,1200.0,10.16
2024-07-16 19:00:00,L_DK1_SE3,740.0,740.0,100.0
2024-07-16 19:00:00,L_DK2_SE4,1700.0,1700.0,100.0
2024-07-16 19:00:00,L_PL_SE4,600.0,600.0,100.0
2024-07-16 19:00:00,L_LT_SE4,700.0,700.0,100.0
2024-07-16 19:00:00,L_DE_SE4,615.0,615.0,100.0
2024-07-16 20:00:00,L_SE1_SE2,1592.29,3300.0,48.25
2024-07-16 20:00:00,L_SE2_SE3,4809.71,7300.0,65.89
2024-07-16 20:00:00,L_SE3_SE4,1556.9,5300.0,29.38
2024-07-16 20:00:00,L_NO4_SE1,-600.0,600.0,100.0
2024-07-16 20:00:00,L_NO3_SE2,-681.06,1000.0,68.11
2024-07-16 20:00:00,L_NO1_SE3,1288.78,2145.0,60.08
2024-07-16 20:00:00,L_FI_SE1,-1615.03,1500.0,100.0
2024-07-16 20:00:00,L_FI_SE3,115.03,1200.0,9.59
2024-07-16 20:00:00,L_DK1_SE3,740.0,740.0,100.0
