timestep,SE1_chp,SE1_gasturbine,SE1_hydro,SE1_solar,SE1_wind,SE2_chp,SE2_gasturbine,SE2_hydro,SE2_solar,SE2_wind,SE3_chp,SE3_gasturbine,SE3_hydro,SE3_nuclear,SE3_solar,SE3_wind,SE4_chp,SE4_condensing,SE4_gasturbine,SE4_hydro,SE4_solar,SE4_wind,SE1_chp_district,SE1_chp_industry,SE2_chp_district,SE2_chp_industry,SE3_chp_district,SE3_chp_industry,SE4_chp_district,SE4_chp_industry
2024-07-15 16:00:00,0.020075187969924812,0.0,0.4690291806958473,0.02793103448275862,0.038279854449222626,0.15152431011826545,0.045,0.5190649606299212,0.06357843137254902,0.08565078905458232,0.09043942992874109,0.000331858407079646,0.5340154142581888,0.6798327807409543,0.06247987117552335,0.1555652396821328,0.11366857142857142,0.0,0.00015748031496062994,0.5941210374639769,0.07757059136920617,0.20221396117306897,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
2024-07-15 17:00:00,0.01969924812030075,0.0,0.4663393191170969,0.01689655172413793,0.032146873966258684,0.14679369250985544,0.045,0.5198486712598425,0.030931372549019606,0.08819458520341682,0.07923594615993666,0.00022123893805309737,0.5929980732177264,0.6796886262072942,0.02883521202361782,0.13381440656241989,0.10861714285714287,0.0,0.0,0.6097406340057637,0.038481619605753865,0.16057001239157373,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
2024-07-15 18:00:00,0.01932330827067669,0.0,0.4583875794986906,0.009310344827586208,0.032798544492226266,0.14679369250985544,0.045,0.5026968503937008,0.009754901960784313,0.07893296655566817,0.07416072842438638,0.00022123893805309737,0.593102119460501,0.6796886262072942,0.008395061728395062,0.12087669828249167,0.10441142857142857,0.0,0.0,0.6079827089337175,0.009179541822056473,0.1371416769929781,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
2024-07-15 19:00:00,0.01932330827067669,0.0,0.4507594463150019,0.0027586206896551726,0.034574925570625206,0.1469250985545335,0.045,0.488726624015748,0.0023039215686274507,0.08781381207470682,0.0719833729216152,0.00022123893805309737,0.5341657032755299,0.6798327807409543,0.0009339774557165861,0.11914637272494233,0.10262857142857143,0.0,0.0,0.604207492795389,0.0005061267980820458,0.11273440726972325,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
2024-07-15 20:00:00,0.018947368421052633,0.0,0.42272727272727273,0.0,0.03333774396295071,0.12590013140604467,0.05,0.47860728346456693,4.901960784313725e-05,0.10425799913131606,0.07225653206650831,0.00022123893805309737,0.5074566473988439,0.6799769352746143,0.00018786902844873858,0.12768264547551908,0.10110857142857142,0.0,0.0,0.603342939481268,0.00018646776771443792,0.10135068153655515,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
2024-07-15 21:00:00,0.018947368421052633,0.0,0.3813991769547325,0.0,0.029411180946080053,0.12971090670170826,0.05,0.45966166338582676,0.0,0.10830172288982191,0.07193982581155978,0.00022123893805309737,0.5019190751445087,0.6801210898082745,0.00016639828234031132,0.12824147654447576,0.10078857142857142,0.0,0.0,0.5948703170028818,0.00016515716568993075,0.07337050805452293,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
2024-07-15 22:00:00,0.01631578947368421,0.0,0.3335334829779274,0.0,0.019940456500165397,0.14009198423127464,0.0,0.4671825787401575,0.0,0.08401621543361806,0.06734362628661916,0.00022123893805309737,0.5159768786127168,0.6788236990053337,0.00016103059581320451,0.1265752371186875,0.10058285714285715,0.0,0.0,0.6005475504322766,0.0002344166222695791,0.07595208591491119,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
2024-07-15 23:00:00,0.01631578947368421,0.0,0.2878226711560045,0.0,0.01488918293086338,0.13680683311432326,0.0,0.46669660433070864,0.0,0.06278847545967858,0.06758115597783057,0.00022123893805309737,0.5162928709055876,0.6789678535389938,0.00014492753623188405,0.10361702127659574,0.10064000000000001,0.0,0.0,0.6019020172910663,0.00022908897176345233,0.051809169764560105,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
2024-07-16 00:00:00,0.016353383458646616,0.0,0.27831275720164605,0.0,0.01155143896791267,0.1440341655716163,0.0,0.46499015748031497,0.0,0.05632691472419285,0.06694378463974664,0.00011061946902654868,0.5156840077071291,0.6789678535389938,0.0001234567901234568,0.08212509612919765,0.09962285714285714,0.0,0.0,0.6036023054755043,0.00022908897176345233,0.03522924411400248,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
2024-07-16 01:00:00,0.01631578947368421,0.0,0.288245417134306,0.0006896551724137932,0.01056235527621568,0.14377135348226017,0.0,0.46647760826771656,9.80392156862745e-05,0.04769798754886347,0.06642517814726841,0.00011061946902654868,0.5164084778420038,0.6789678535389938,0.0001234567901234568,0.06655985644706484,0.09301714285714285,0.0,0.0,0.6060518731988473,0.00021310602024507194,0.030685667079719127,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
